FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterMax;HeightMin;DiameterMin;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
0;1.000.021.505.100.000.000.000.000.000.000.000;8106;Bara Weissova;2017-09-11 04:25:37.643 GMT;Bara Weissova;2017-09-11 04:25:37 GMT;8106;Burial Mound;Legacy verification; ;Annual agriculture;Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.409.707.721.300.000;26.247.832.061.499.900;4.695.541.229.000.000.000.000;43.810.826.278.227;3.0;8; ;North;camera photo;files/app/9a543a6c-5890-42eb-bdbe-f35a35369cf8_image-1505104267136.original.jpg;0;55; ;50;p;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last year; ; ; ;1075;1,00E+18;202685;Stephanie Black;2017-09-21 10:04:31.623 GMT;Stephanie Black;2017-09-21 10:04:31 GMT;202685;Stephanie Black;2017-09-21 13:04:22+03:00;42.409.596.358.546;262.476.185.811.943;46.955.290.191.542;438.090.587.056.047; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8106;top;262.478.008;424.096.985
1;1.000.021.505.110.000.000.000.000.000.000.000;8107;Bara Weissova;2017-09-11 04:57:40.605 GMT;Bara Weissova;2017-09-11 05:01:56 GMT;8107;Burial Mound;Legacy verification; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388.045.496.899.900;26.189.617.998.599.900;4.693.179.962.000.000.000.000;433.295.180.155.942;3.0;9; ;West; ;files/app/de02516a-ef19-45d1-88a2-58d28758d15c_image-1505106149927.original.jpg;0;20; ;11; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting;agriculture;5- none or nearly none;Looting;Unknown; ; ;files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg;1108;1,00E+18;202701;Stephanie Black;2017-09-21 10:12:48.386 GMT;Stephanie Black;2017-09-21 10:12:48 GMT;202701;Stephanie Black;2017-09-21 13:12:40+03:00;423.878.535.916.425;261.893.710.888.425;469.315.884.681.781;43.327.465.293.863; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8107;30;261.896.000;423.880.005
2;1.000.021.505.110.000.000.000.000.000.000.000;8109;Bara Weissova;2017-09-11 05:26:50.031 GMT;Bara Weissova;2017-09-11 05:26:50 GMT;8109;Uncertain Mound;Survey; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.388.074.849.200.000;26.186.455.873.900.000;4.693.185.707.999.990.000.000;433.034.926.358.657;3.0;11; ;West; ;files/app/46fee0d1-1e3a-4864-96e1-2d5b78836551_image-1505107839315.original.jpg;0;20;0;12; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting;"agriculture; plenty of stones within looking like someone excavated and left them there";5- none or nearly none;Looting;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;261.865.005;423.880.997
3;1.000.021.505.110.000.000.000.000.000.000.000;8110;Bara Weissova;2017-09-11 05:56:32.456 GMT;Bara Weissova;2017-09-11 05:56:32 GMT;8110;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.398.691.794.500.000;26.186.021.029.500.000;4.694.364.929.999.990.000.000;433.010.425.363.784;3.0;12; ;North; ;files/app/85a523db-1c6c-4b49-a238-cfcacd4af0bf_image-1505109587301.original.jpg;0;35; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1105;1,00E+18;202699;Stephanie Black;2017-09-21 10:12:08.825 GMT;Stephanie Black;2017-09-21 10:12:08 GMT;202699;Stephanie Black;2017-09-21 13:11:58+03:00;423.983.958.428.472;261.863.045.401.936;469.433.184.461.576;433.033.443.422.652; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8110;10;261.860.008;423.987.007
4;1.000.021.505.120.000.000.000.000.000.000.000;8117;Bara Weissova;2017-09-11 09:16:06.980 GMT;Bara Weissova;2017-09-11 09:16:06 GMT;8117;Extinct Burial Mound;Legacy verification;heap of stones in middle of field;Annual agriculture;Pasture (grassland);Valley Bottom or Plain;42.381.152.793.399.900;26.191.485.819.000.000;4.692.413.150.000.000.000.000;433.441.645.844.143;3.0;19; ;East; ;files/app/c5c921a4-e554-4949-acb2-10653cdf4e22_image-1505121577286.original.jpg;0;15; ;5; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last year; ; ; ;1414;1,00E+18;202760;Stephanie Black;2017-09-21 12:35:14.137 GMT;Stephanie Black;2017-09-21 12:35:14 GMT;202760;Stephanie Black;2017-09-21 15:35:02+03:00;423.810.849.960.511;261.920.328.161.281;46.924.051.934.663;433.486.604.356.611; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8117;6;261.914.997;423.811.989
5;1.000.021.505.280.000.000.000.000.000.000.000;8129;Bara Weissova;2017-09-13 05:54:02.258 GMT;Bara Weissova;2017-09-13 06:11:26 GMT;8129;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427.255.220.500.000;26.658.885.075.800.000;4.697.272.009.999.990.000.000;47.193.942.451.253;3.0;31; ;South; ;files/app/f108b237-6842-42ff-99d1-d66cf746e9ce_image-1505282913342.original.jpg;4;30; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting; ;3 - impaired;Looting;Last year;01, rectangle,15,5,3, manual excavation;Pepsi bottle dates last looting at 2015-16.;files/app/a0bfdff8-b533-4b2b-a9bb-2b0bf8f18cbb_image-1505283069257.original.jpg - files/app/c65cbd92-b46f-412b-9555-a35e852b3626_image-1505282827573.original.jpg;1374;1,00E+18;204095;Briana Barton;2017-09-21 12:23:21.619 GMT;Briana Barton;2017-09-21 12:23:33 GMT;204095;Briana Barton;2017-09-21 15:23:14+03:00;424.266.543.337.611;266.572.349.784.626;469.720.583.517.577;471.803.415.831.771; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8129;130;266.588.993;424.272.995
6;1.000.021.505.280.000.000.000.000.000.000.000;8130;Bara Weissova;2017-09-13 06:13:41.076 GMT;Bara Weissova;2017-09-13 06:24:31 GMT;8130;Burial Mound;Survey; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.427.041.470.200.000;26.659.174.345.499.900;4.697.248.179.999.990.000.000;471.963.124.998.564;3.0;32; ;South; ;files/app/4ed530f3-50f5-4cb4-a926-60228148d418_image-1505283742747.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Looting;potential road cut;2 - good;Looting;Unknown;"01,rectangle,1.5,1, 0.5,manual excavation; 02,rectangle,3,2, 0.5, manual excavation"; ;files/app/042b6a64-79be-474d-bcb3-1ed95c8bc5d6_image-1505283672023.original.jpg - files/app/d14f3c77-c8b7-4112-9570-795c57d98e8c_image-1505283852350.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;266.592.007;424.269.981
7;1.000.021.505.280.000.000.000.000.000.000.000;8131;Bara Weissova;2017-09-13 06:33:19.312 GMT;Bara Weissova;2017-09-13 06:48:24 GMT;8131;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Hilltop;42.429.831.907.299.900;26.663.454.014.999.900;4.697.556.617.999.990.000.000;472.316.405.870.442;3.0;33; ;Southeast;local hilltop, overlooking Pobeda;files/app/172d072c-39eb-43cd-b3d4-57b293956a34_image-1505285099623.original.jpg;0;30; ;25; ;0.000000000000000;0.000000000000000; ;Other;white mortar in the animal hole, prove of a disturbed grave;No; ; ;4 - seriously damaged;Looting;construction and animal activity;4 - minimal;Looting;Unknown;"01,rectangle, 10,4, 1.5, manual excavation; 02,irregular, 4,2, 1.8,hole; 03, rectangle, 10,4, 1.8, manual excavation"; ;files/app/29490ab6-1832-499f-9a28-7622edf7d948_image-1505285290906.original.jpg - files/app/42b50fe4-6bc9-41f9-8fbf-da8641996409_image-1505285249871.original.jpg - files/app/720086ea-a07f-4886-bf69-40dde5e043ff_image-1505285215005.original.jpg;1380;1,00E+18;204097;Briana Barton;2017-09-21 12:24:14.646 GMT;Briana Barton;2017-09-21 12:24:20 GMT;204097;Briana Barton;2017-09-21 15:24:08+03:00;424.297.817.736.319;266.636.366.143.109;469.755.099.222.614;472.331.404.084.144; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8131;top;266.634.998;424.297.981
8;1.000.021.505.290.000.000.000.000.000.000.000;8132;Bara Weissova;2017-09-13 07:00:31.284 GMT;Bara Weissova;2017-09-13 07:01:50 GMT;8132;Burial Mound;Legacy verification;kurgan Dzhibunyaka;Pasture (grassland);Pasture (grassland);Hilltop;42.431.879.867.200.000;26.663.684.171.700.000;4.697.783.944.000.000.000.000;472.336.238.713.588;3.0;34;279.9;West;located in a military base, general allowed us to record it but without taking pictures;files/app/337f75ab-5c63-4451-8e29-fa74645cd61b_image-1505286237015.original.jpg;0;35; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction; ;1 - full;Other (specify in Annotation) (military watch tower);Unknown; ;watchtower on top; ;1378;1,00E+18;204096;Briana Barton;2017-09-21 12:24:00.292 GMT;Briana Barton;2017-09-21 12:24:00 GMT;204096;Briana Barton;2017-09-21 15:23:49+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8132;top;266.637.001;424.319.000
9;1.000.021.505.290.000.000.000.000.000.000.000;8133;Bara Weissova;2017-09-13 07:19:57.751 GMT;Bara Weissova;2017-09-13 07:24:35 GMT;8133;Burial Mound;Legacy verification; ;Other (explain in notes);Other (explain in notes);Hilltop;42.423.131.786.900.000;26.655.326.796.200.000;4.696.815.336.000.000.000.000;471.644.857.138.132;3.0;35;244.6;South;graveyard;files/app/4749f4b5-62ab-4719-b05b-efbae2920841_image-1505287549635.original.jpg;1;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Other; ;2 - good;Other (specify in Annotation) (graveyard );Last year; ; ;files/app/bb15a942-6e2e-4216-a08d-aed6ad0b7934_image-1505287459223.original.jpg;1434;1,00E+18;204101;Briana Barton;2017-09-21 12:38:58.067 GMT;Briana Barton;2017-09-21 12:38:58 GMT;204101;Briana Barton;2017-09-21 15:38:47+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8133;top;266.553.001;424.230.995
